problem,expected_szs,result,time_ms,steps,active_branches_max,csp_calls
SYN/SYN064^5.p,Theorem,thm,8,7.0,1.0,1.0
SYO/SYO289^5.p,Theorem,thm,8,5.0,1.0,1.0
SET/SET063^5.p,Theorem,thm,8,8.0,1.0,1.0
SYO/SYO013^1.p,Theorem,thm,8,12.0,2.0,0.0
SYO/SYO198^5.p,Theorem,thm,8,15.0,3.0,0.0
SEV/SEV187^5.p,Theorem,thm,8,2.0,1.0,0.0
SEV/SEV333^5.p,CounterSatisfiable,csa,8,8.0,3.0,0.0
PUZ/PUZ100^5.p,Theorem,thm,8,4.0,1.0,0.0
SEU/SEU532^2.p,Theorem,thm,8,8.0,1.0,1.0
SYO/SYO091^5.p,Theorem,thm,8,4.0,1.0,0.0
SYO/SYO380^5.p,Theorem,thm,8,5.0,1.0,1.0
SYO/SYO347^5.p,Theorem,thm,8,3.0,1.0,0.0
SYO/SYO043^2.p,CounterSatisfiable,csa,8,4.0,6.0,0.0
ITP/ITP001^3.p,Theorem,thm,9,6.0,2.0,0.0
SET/SET619^5.p,Theorem,thm,9,3.0,1.0,0.0
SEV/SEV335^5.p,CounterSatisfiable,csa,9,7.0,3.0,0.0
NUM/NUM781^3.p,Theorem,thm,9,8.0,1.0,0.0
SET/SET599^5.p,Theorem,thm,9,4.0,1.0,0.0
SYO/SYO349^5.p,Theorem,thm,9,12.0,2.0,0.0
SYO/SYO315^5.p,Theorem,thm,9,1.0,1.0,0.0
SYO/SYO135^5.p,Theorem,thm,9,14.0,2.0,2.0
SEV/SEV416^5.p,Theorem,thm,9,1.0,1.0,0.0
NUM/NUM804^5.p,CounterSatisfiable,csa,9,7.0,2.0,0.0
SEU/SEU541^2.p,Theorem,thm,9,12.0,2.0,0.0
SEV/SEV134^5.p,Theorem,thm,9,4.0,1.0,0.0
NUM/NUM749^1.p,Theorem,thm,10,12.0,2.0,1.0
SEV/SEV338^5.p,CounterSatisfiable,csa,10,8.0,3.0,0.0
NUM/NUM736^1.p,Theorem,thm,10,9.0,2.0,1.0
SET/SET143^5.p,Theorem,thm,10,4.0,1.0,0.0
SEU/SEU535^2.p,Theorem,thm,10,12.0,2.0,1.0
SYO/SYO129^5.p,Theorem,thm,10,21.0,2.0,3.0
SYO/SYO314^5.p,Theorem,thm,10,1.0,1.0,0.0
SYO/SYO371^5.p,Theorem,thm,10,17.0,3.0,0.0
SEV/SEV326^5.p,CounterSatisfiable,csa,10,6.0,2.0,0.0
SEV/SEV406^5.p,Theorem,thm,10,3.0,1.0,0.0
SEU/SEU561^2.p,Theorem,thm,10,8.0,1.0,0.0
NUM/NUM803^5.p,CounterSatisfiable,csa,11,7.0,2.0,0.0
SYO/SYO232^5.p,Theorem,thm,11,12.0,2.0,1.0
SEV/SEV345^5.p,CounterSatisfiable,csa,11,7.0,3.0,0.0
NUM/NUM781^2.p,Theorem,thm,11,10.0,1.0,0.0
SEU/SEU560^2.p,Theorem,thm,11,8.0,1.0,0.0
SET/SET593^5.p,Theorem,thm,11,4.0,1.0,0.0
SET/SET591^5.p,Theorem,thm,11,9.0,1.0,1.0
SET/SET159^5.p,Theorem,thm,11,4.0,1.0,0.0
SET/SET043^5.p,Theorem,thm,11,11.0,2.0,1.0
SEU/SEU851^5.p,Theorem,thm,11,3.0,1.0,0.0
SEV/SEV332^5.p,CounterSatisfiable,csa,11,7.0,2.0,0.0
SEV/SEV337^5.p,CounterSatisfiable,csa,11,9.0,3.0,0.0
SEV/SEV389^5.p,Theorem,thm,11,12.0,2.0,1.0
SEV/SEV370^5.p,CounterSatisfiable,csa,11,7.0,1.0,0.0
SEU/SEU529^2.p,Theorem,thm,11,10.0,1.0,1.0
SYO/SYO088^5.p,Theorem,thm,11,1.0,1.0,0.0
SYO/SYO134^5.p,Theorem,thm,11,19.0,3.0,1.0
SEV/SEV328^5.p,CounterSatisfiable,csa,11,7.0,2.0,0.0
SEV/SEV331^5.p,CounterSatisfiable,csa,11,6.0,2.0,0.0
SEV/SEV324^5.p,CounterSatisfiable,csa,11,7.0,2.0,0.0
SEV/SEV330^5.p,CounterSatisfiable,csa,11,7.0,2.0,0.0
SEV/SEV225^5.p,Theorem,thm,12,8.0,1.0,1.0
SYO/SYO348^5.p,Theorem,thm,12,24.0,3.0,0.0
SET/SET620^5.p,Theorem,thm,12,3.0,1.0,0.0
SYO/SYO140^5.p,Theorem,thm,12,12.0,2.0,1.0
SYO/SYO094^5.p,Theorem,thm,12,18.0,2.0,1.0
SET/SET614^5.p,Theorem,thm,12,4.0,1.0,0.0
SYO/SYO082^5.p,Theorem,thm,12,10.0,1.0,1.0
SET/SET613^5.p,Theorem,thm,12,3.0,1.0,0.0
SEU/SEU578^2.p,Theorem,thm,12,16.0,2.0,1.0
SEU/SEU553^2.p,Theorem,thm,12,10.0,1.0,0.0
SYO/SYO194^5.p,Theorem,thm,12,14.0,2.0,1.0
SEU/SEU563^2.p,Theorem,thm,12,12.0,1.0,1.0
SYO/SYO083^5.p,Theorem,thm,12,20.0,2.0,1.0
SEV/SEV339^5.p,CounterSatisfiable,csa,12,7.0,3.0,0.0
SYO/SYO207^5.p,Theorem,thm,12,28.0,4.0,0.0
SEV/SEV012^5.p,Theorem,thm,12,12.0,2.0,0.0
NUM/NUM668^1.p,Theorem,thm,12,13.0,2.0,1.0
SEV/SEV347^5.p,CounterSatisfiable,csa,12,9.0,3.0,0.0
SEV/SEV390^5.p,Theorem,thm,12,12.0,2.0,1.0
SET/SET612^5.p,Theorem,thm,13,4.0,1.0,0.0
SYO/SYO089^5.p,Theorem,thm,13,1.0,1.0,0.0
